link,nome_anuncio,desc,orig_preco,preco,categoria,modelo,marca,tipo_carro,ano,quilometragem,cilindrada,combustivel,gnv,cambio,cor,portas,fim_placa,direcao,airbag,alarme,ar_condicionado,trava_eletrica,vidro_eletrico,som,sensor_re,camera_re,blindado,estado
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/crossfox-2013-1248769278,Crossfox 2013,"Carro top zerado, modelo 2013, motor 1.6, ar condicionado top gelando",R$ 42.000,R$ 39.990,"Carros, vans e utilitários",VOLKSWAGEN CROSSFOX 1.6 T. FLEX 16V 5P,VOLKSWAGEN,4.0,2013,103000,1.6,2.0,0.0,0.0,2.0,1.0,6,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-1-6-2016-promocao-1248552322,Sandero Expression 1.6 2016 Promoção !!,04 Pneus Novos  Bateria Nova : Agosto 2023 Multimídia  Estofado sem rascos  87 Mil KM rodados Faz 11 KM por litro  Revisado  Alinhado  Trocado Óleo,,R$ 38.500,"Carros, vans e utilitários",RENAULT SANDERO EXPRESSION HI-FLEX 1.6 8V 5P,RENAULT,4.0,2016,87439,1.6,2.0,0.0,0.0,2.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-seda-2016-1248464635,Ford ka sedã 2016,Carro zerado 2016 1.5 Econômico,,R$ 39.500,"Carros, vans e utilitários",FORD SEDAN SEL 1.5 16V FLEX,FORD,7.0,2016,77000,1.5,2.0,0.0,0.0,9.0,1.0,,,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-montana-sport-cabine-simples-1248463480,Vendo Montana Sport Cabine Simples,Vendo Montana Sport competa toda conservada  Contato-86-9... ver número-Ricardo.,,R$ 38.900,"Carros, vans e utilitários",CHEVROLET MONTANA SPORT 1.4 ECONOFLEX 8V 2P,CHEVROLET,6.0,2011,298000,1.4,2.0,0.0,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/palio-fire-way-2015-completo-1248430606,PALIO FIRE WAY 2015 COMPLETO,Contato: 869... ver número Recebo carro usado de menor valor na troca.,,R$ 39.000,"Carros, vans e utilitários",FIAT PALIO WAY 1.0 FIRE FLEX 8V 5P,FIAT,4.0,2015,74000,1.0,2.0,0.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/march-activ-1248421612,March Activ,Os 4 pneus novos,,R$ 32.000,"Carros, vans e utilitários",NISSAN MARCH 1.0 16V FLEX FUEL 5P,NISSAN,4.0,2015,151000,1.0,2.0,0.0,0.0,1.0,1.0,2,2.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/siena-1-0-quitado-e-em-dias-so-no-ponto-de-transferencia-1248320621,Siena 1.0 quitado e em dias só no ponto de transferência...,Siena 1.0 quitado e em dias só no ponto de transferência ano 2013/2014 completo mas informações wpp 869... ver número,,R$ 34.000,"Carros, vans e utilitários",FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,FIAT,,2014,0,1.0,2.0,0.0,0.0,1.0,1.0,5,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/classic-ls-1248286282,Classic LS,Classic LS  1.0  83.000km  2016 Ar-condicionado  Som Trava,,R$ 36.900,"Carros, vans e utilitários",CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,CHEVROLET,7.0,2016,83000,1.0,2.0,0.0,0.0,2.0,1.0,8,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/palio-attractive-1-0-2013-1248284561,Palio Attractive 1.0 2013,Palio Attractive 1.0  2013/2013 Completo  Revisado  4 pneus zeros  Pronto pra transferência,,R$ 36.900,"Carros, vans e utilitários",FIAT PALIO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,FIAT,4.0,2013,117000,1.0,2.0,0.0,0.0,3.0,1.0,3,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/fox-1189773067,Fox,,R$ 76.990,R$ 36.990,"Carros, vans e utilitários",VOLKSWAGEN FOX TRENDLINE 1.0 FLEX 8V 5P,VOLKSWAGEN,4.0,2013,138200,1.0,2.0,0.0,0.0,0.0,1.0,6,0.0,0,0,0,0,0,0,0,0,0,pi
